account_number,account_opening_dt,account_closing_dt,past_due_dt,days_past_due,writeoff_dt,writeoff_amt,impaired_dt,impaired_amt,current_margin,src_stm_cd,country_cd,customer_number,customer_relation_type,amount_type,amount_orig_currency,amount_rept_currency,bban,iban,distribution_channel,orig_currency_cd,orig_balance,eff_interest_rate,write_off_amt,recovery_date,recovered_amt,product_cd,total_principle_amt,total_interest_due,principle_amt,principle_interest_amt,penalty_interest_amt,processing_fees_amt,forb_measure_cd,forb_measure_desc,forb_closure_cd,forb_closure_desc,forb_closure_dt
3002022061601,04-01-1995,12-31-9999,01-03-2022,47,03-03-2022,0,17-04-2022,0,1000,SCANDINAVIAN_BANK,Norway,CSBNO19950104001,JOINT,saving,NOK,NOK,BB20220417001,IB20220417001,BANK,NOK,10000,1,0,03-03-2022,0,CREDIT001,23000,23000,11500,34500,0,99,,,,,2958465
3002022061602,05-01-1996,12-31-9999,02-03-2022,46,04-03-2022,7430,17-04-2022,0,1001,SCANDINAVIAN_BANK,Denmark,CSBDK19960105002,INDIVIDUAL,saving,DKK,DKK,BB20220417002,IB20220417002,BANK,DKK,11000,2,7430,04-03-2022,7430,DEBIT001,0,0,0,0,0,0,,,,,2958465
3002022061603,06-01-1997,12-31-9999,03-03-2022,45,05-03-2022,0,17-04-2022,0,1002,SCANDINAVIAN_BANK,Finland,CSBFI19970106003,INDIVIDUAL,saving,EUR,EUR,BB20220417003,IB20220417003,BANK,EUR,14000,3,0,05-03-2022,0,CREDIT001,25000,25000,12500,37500,10000,99,,,,,2958465
3002022061604,07-01-1998,12-31-9999,04-03-2022,44,06-03-2022,0,17-04-2022,2000,1003,SCANDINAVIAN_BANK,Iceland,CSBIC19980107004,INDIVIDUAL,saving,ISK,ISK,BB20220417004,IB20220417004,BANK,ISK,65000,4,0,06-03-2022,0,CREDIT001,10000000,10000000,5000000,15000000,0,99,,,,,2958465
3002022061605,08-01-1999,12-31-9999,05-03-2022,43,07-03-2022,0,17-04-2022,0,1004,SCANDINAVIAN_BANK,Sweden,CSBSE19990108005,INDIVIDUAL,saving,SEK,SEK,BB20220417005,IB20220417005,BANK,SEK,1000000,5,0,07-03-2022,0,CREDIT004,1234562434,1234562434,617281217,1851843651,0,99,,,,,2958465
3002022061606,09-01-2000,12-31-9999,06-03-2022,42,08-03-2022,0,17-04-2022,0,1005,SCANDINAVIAN_BANK,Norway,CSBNO20000109006,POA,saving,NOK,NOK,BB20220417006,IB20220417006,BANK,NOK,32000,6,0,08-03-2022,0,DEBIT002,0,0,0,0,0,0,,,,,2958465
3002022061607,10-01-2001,12-31-9999,07-03-2022,41,09-03-2022,0,17-04-2022,0,1006,SCANDINAVIAN_BANK,Denmark,CSBDK20010110007,MINOR,saving,DKK,DKK,BB20220417007,IB20220417007,BANK,DKK,3400,7,0,09-03-2022,0,FIXED001,0,0,0,0,0,0,STU,STUDENT,GRADUATE,WAITING FOR JOB,44668
3002022061608,11-01-2002,12-31-9999,08-03-2022,40,10-03-2022,0,17-04-2022,0,1007,SCANDINAVIAN_BANK,Finland,CSBFI20020111008,JOINT,overdraft,EUR,EUR,BB20220417008,IB20220417008,BANK,EUR,5600,8,0,10-03-2022,0,FIXED002,0,0,0,0,0,0,,,,,2958465
3002022061609,12-01-2003,12-31-9999,09-03-2022,39,11-03-2022,0,17-04-2022,0,1008,SCANDINAVIAN_BANK,Iceland,CSBIC20030112009,INDIVIDUAL,saving,ISK,ISK,BB20220417009,IB20220417009,BANK,ISK,7800,9,0,11-03-2022,0,CREDIT001,40000,40000,20000,60000,20000,99,,,,,2958465
3002022061610,13-01-2004,12-31-9999,10-03-2022,38,12-03-2022,0,17-04-2022,0,1009,SCANDINAVIAN_BANK,Sweden,CSBSE20040113010,INDIVIDUAL,saving,SEK,SEK,BB20220417010,IB20220417010,BANK,SEK,8435,1,0,12-03-2022,0,DEBIT001,0,0,0,0,0,0,,,,,2958465
