customer_number,local_customer_number,customer_start_dt,customer_end_dt,status,marital_status,dob,no_of_children,customer_ssn,spouse_ssn,src_stm_cd,country_cd,street,postal_cd,city,country,occupation_type,occupation_desc,occupation_status,occupation_start_dt,occupation_end_dt,tax_year,gross_income,net_income,taxable_income,final_tax,aggregated_income
CSBDK19960105002,CSBDK19960105002,05-01-1996,31-12-9999,ACTIVE,MARRIED,06-04-1993,1,20000000001,300000001,SCANDINAVIAN_BANK,Denmark,Neil jules gate,0011,Copenhagen,Denmark,PRIVATE,Work in privately owned company,ACTIVE,29-09-2021,31-12-9999,2022,21000,16500,11550,4500,11000
CSBDK20010110007,CSBDK20010110007,10-01-2001,31-12-9999,ACTIVE,SINGLE,11-04-1993,0,20000000006,300000006,SCANDINAVIAN_BANK,Denmark,Neil jules gate,0016,Copenhagen,Denmark,STUDENT,STUDENT ACCOUNT,ACTIVE,29-09-2021,31-12-9999,2022,13400,8900,6230,4500,3400
CSBDK20060115012,CSBDK20060115012,15-01-2006,31-12-9999,ACTIVE,MARRIED,10-06-2000,1,20000000011,300000011,SCANDINAVIAN_BANK,Denmark,Neil jules gate,0021,Copenhagen,Denmark,PRIVATE,Work in privately owned company,ACTIVE,29-09-2021,31-12-9999,2022,999000,994500,696150,4500,989000
CPBDE20110120017,CPBDE20110120017,20-01-2011,31-12-9999,ACTIVE,SINGLE,15-06-2000,0,20000000016,300000016,PARTNER_BANK,Denmark,Neil jules gate,0026,Copenhagen,Denmark,MIXED,Work in company owned by government and private ,ACTIVE,29-09-2021,31-12-9999,2022,445103,440603,308422.1,4500,435103
CPBDE20160125022,CPBDE20160125022,25-01-2016,31-12-9999,ACTIVE,SINGLE,09-03-1991,0,20000000021,300000021,PARTNER_BANK,Denmark,Neil jules gate,0031,Copenhagen,Denmark,PRIVATE,Work in privately owned company,ACTIVE,29-09-2021,31-12-9999,2022,108901,104401,73080.7,4500,98901
CSBFI19970106003,CSBFI19970106003,06-01-1997,31-12-9999,ACTIVE,DIVORCED,07-04-1993,2,20000000002,300000002,SCANDINAVIAN_BANK,Finland,Thrived Gate,0012,Helsinki,Finland,MIXED,Work in company owned by government and private ,ACTIVE,29-09-2021,31-12-9999,2022,24000,19500,13650,4500,14000
CSBFI20020111008,CSBFI20020111008,11-01-2002,31-12-9999,ACTIVE,SINGLE,12-04-1993,0,20000000007,300000007,SCANDINAVIAN_BANK,Finland,Thrived Gate,0017,Helsinki,Finland,PUBLIC,Work in government owned company,ACTIVE,29-09-2021,31-12-9999,2022,15600,11100,7770,4500,5600
CPBFI20070116013,CPBFI20070116013,16-01-2007,31-12-9999,ACTIVE,MARRIED,11-06-2000,1,20000000012,300000012,PARTNER_BANK,Finland,Thrived Gate,0022,Helsinki,Finland,MIXED,Work in company owned by government and private ,ACTIVE,29-09-2021,31-12-9999,2022,4366000,4361500,3053050,4500,4356000
CPBFI20120121018,CPBFI20120121018,21-01-2012,31-12-9999,ACTIVE,MARRIED,16-06-2000,0,20000000017,300000017,PARTNER_BANK,Finland,Thrived Gate,0027,Helsinki,Finland,PUBLIC,Work in government owned company,ACTIVE,29-09-2021,31-12-9999,2022,13400,8900,6230,4500,3400
CPBFI20170126023,CPBFI20170126023,26-01-2017,31-12-9999,ACTIVE,SINGLE,10-03-1991,0,20000000022,300000022,PARTNER_BANK,Finland,Thrived Gate,0032,Helsinki,Finland,MIXED,Work in company owned by government and private ,ACTIVE,29-09-2021,31-12-9999,2022,133000,128500,89950,4500,123000
